"id","X2.hydroxy.2.methylbutyrate..2H2MB.","X2.hydroxyglutarate..2.HG.","X2.methylacetoacetate..2.MAA.","X2.oxobutanoate..2.OB.","X2.oxodipate..2.OD.","X2.oxoglutarate","X3.hydroxyanthranilate..3.HAA.","X3.hydroxybutyrate..3.HB.","X3_methyl_2_oxobutyrate..3M2OB.","X3.phosphoglycerate..3.PG.","X4.hydroxyphenylacetate..4.HPA.","Anthranilate..AA.","Acetoacetate","Aconitate","Allantoin","Ascorbic.acid","Biotin","Glutarylcarnitine..C5.DC.","Cyclic.adenosine.monophosphate..cAMP.","Cyclic.guanosine.monophosphate..cGMP.","Cholic.acid","Cholesteryl.sulfate..CholSO4.","Camphorsulfonate..CSA.","Deoxycholate..DCA.","D.Glucolactone","Folate","Fumarate","Guanidoacetate..GAA.","Guanosine.diphosphate..GDP.","Glyceraldehyde","glycerol.3.phosphate","Guanosine","Homocysteate..HCA.","Hydroxyisocaproate..HICA.","X3.hydroxy.3.methylglutaryl.coenzyme.A..HMG.coA.","Homogentisate","Hypoxanthine","Inosine","Kynurenic.acid","Kynurenine","Lactulose","L.Cystine","Lipoate","lipoic.acid","Malonate","Mevaloate..MEV.","N.Acetyl.L.Ala","N.carbomyl.aspartate","Nicotinate","Orotate","Oxaloacetate","p.aminobenzoate..p.AB.","Phenyllactic","Phenylpyruvate","Phytonadione","Prephenate","Pyroglutamic.acid","Pyrophosphate","Pyruvate","Quercetin","Riboflavin.5..monophosphate..R5.MP.","Rhamnose","S.adenosyl.L.homocysteine","Succinate","Taurine","Taurodeoxycholate..TDCA.","Thymidine","Tropisetron","Uracil","Urate","Ureidopropionic.acid","Uridine","Xanthurenate..XAN.","Xanthine","Xanthosine","alpha.ketoglutarate","Fructose"
"C59.1",23.4449244687909,26.1215557745966,13.1199238312649,22.289045411728,25.3628283095121,18.2055368031673,19.5426858640519,14.4791321959953,23.5211079288208,20.3264260821757,21.8607311504851,20.8891675062352,21.8663949702585,17.9379928462875,17.1812516625368,21.5624602203573,23.666476236473,13.6034232160221,14.8866687764512,17.4626387170009,23.7468885327683,24.524428615851,17.8183398839702,27.4452758565997,14.3977644823555,15.3242614365055,22.9841111500258,20.8759510598081,13.6262710722327,18.6683633307242,13.5646952254769,22.9429133391252,15.2420030589451,15.8259692043596,15.7191661121577,16.563372494899,27.0038292766381,26.9073437650445,24.4131208175818,14.9435337447624,22.3141153231177,15.9667885704913,16.3944821214904,12.1721998898186,17.7262741399625,21.5053611913339,23.5904044132198,22.4467256925918,20.3547202315624,19.5015840872482,20.7889897884037,20.9731881966623,20.546945303115,17.4407828539331,16.2915187473518,17.1200757308257,18.0630455280095,19.1816922393659,16.6503296638902,11.0216932961173,17.5383833461465,13.5281173656391,16.6434628133614,25.6406403552729,25.5300472401291,20.1894924531173,21.7091382156786,18.6963087531962,22.4925060215538,19.1735608127986,17.5370215119748,23.8167182624388,16.4639575108849,25.0744750121981,20.9800413752979,18.570460656507,19.2801741235642
"C59.2",22.3858053155133,25.0174130847246,11.4618594518389,22.3765176230366,25.078392286255,18.6736786065439,17.9744913949906,12.1136639777167,23.1772462387673,20.4755072855536,22.2285457685413,19.7330187141711,21.7810362583525,17.5017281479177,17.4328393682066,21.4278900574138,23.0552242706456,13.1065434999521,15.6878239270662,15.9708499148072,24.1529893654639,24.3598845637159,18.32808630539,26.884119438625,13.976973733809,13.7481691155341,22.9644627833243,20.3885568398366,14.0793521560467,16.4658759910454,13.5747702683226,21.5544269794754,15.4436673049459,13.8328627867824,15.258270285167,16.9000911044981,25.7701034570828,25.2405461558695,24.0130286854631,15.1242088360337,21.4982341345347,16.3292118683285,17.0105468531917,12.9650720326864,19.1271044213452,21.0286566424664,23.4745045579076,23.0540915076154,19.2934315471175,19.757277883289,20.1180180601492,19.8544241992891,20.2200923230677,15.5572645846444,16.5809054505851,15.5779782069447,17.6478046698161,19.148415332636,16.1931287579164,11.2325171395601,18.9504681724479,13.3669733352125,16.8915774192027,25.6364290856093,25.7103323434192,20.2837092108199,20.9672774837907,19.0679548306357,21.4024146224219,18.4253973712267,17.433934309763,23.1011040265111,16.51490508176,24.3585790391588,20.661125360967,19.1522345663032,16.8492746666936
"C59.3",23.8136549825142,26.4026312638461,13.6508108259724,22.6024640600274,25.5133607820837,19.0148815624981,19.7558934813687,15.5471483462837,23.3975204601119,20.2164733394639,21.0458953773055,21.1267169022348,21.5763647604721,17.3831608420322,17.3338572846873,21.6587377013838,23.9186822964683,10.8794939765258,13.5055076069712,18.8385830148809,23.6157863328724,23.8751903815788,18.000422398249,27.1697763330898,14.85551092641,14.315219267662,23.0828087750384,20.7155262242569,12.8524208405535,19.0224554806338,12.3514195891738,24.8077798174594,15.2892651758143,16.002872976091,15.7604506917852,16.3795746222734,27.2261890569879,28.1242430303096,24.4504294858861,15.1581994938341,24.507935060488,14.5142421398495,16.4015309677547,12.5000031668341,20.5351557705561,21.622255358174,22.2324811985715,22.0793182308378,20.5048180615911,19.6005837403323,20.5710337871765,21.2109779490481,20.2567121017065,18.6429786117163,16.2171915915176,13.0646314420509,18.499832909775,19.1903853314572,18.561706724855,11.7952052110664,18.4957926945132,13.6674832382779,16.4529827489313,25.8386184313829,24.7755211012598,19.2259957657976,21.6957722919298,16.8509913711278,23.631829481255,19.429863189872,16.303751416284,23.9879727046479,16.7782503662569,25.8869951386584,22.0914052686037,19.2247305185684,19.6088511100719
"C61.1",22.5967376005252,25.2098847548034,12.9970854175799,22.8579664346197,24.7946874843563,18.100581564644,17.4939822820728,11.9211527191339,22.8649456728775,18.6047071682728,20.69652719646,19.6178600027594,21.8220024439211,17.349727317524,15.5783423384768,21.1188327400606,22.8842172515424,13.1604743738201,15.1770850796192,17.2121372720733,22.529088486537,24.8764232975433,16.9416995298616,26.1050120320838,13.6472149377629,14.767611899087,22.4500985628646,21.0431032006093,15.1705877058405,18.012631138819,11.366358622865,22.3507926543498,13.4077529698321,15.1265594492831,16.0865674989816,14.4577114484065,25.6695834901381,25.3881591422225,23.5910715284972,14.1057238963196,22.533992724419,14.5177021102545,15.3501028696484,10.9065209121317,20.7479640875493,21.1802042943061,20.9418476995355,22.1213848840631,19.2205104614569,18.6101759259123,19.1805999311016,19.7258126837667,19.3639515287772,17.7981355237692,16.0576432874335,11.338023867549,16.8341926134295,19.3735222250924,16.9336042400246,11.3800849999016,19.3727357541312,13.300088977478,15.2926954371375,24.6736314480973,24.6935455285595,18.3077473627417,21.3493106226657,17.7982261807445,21.6284488961497,17.6911178797403,14.9900374436444,22.9105998301934,16.0306921036027,23.8706390099845,20.7483595310792,18.9652254894586,18.509764351618
"C61.2",19.587552995347,22.0162488913542,13.4526879304793,22.6741708720089,24.1166376559234,18.0785235684221,16.9621231191759,12.4326019037512,21.3815744502555,20.0093292172996,22.1862434238296,19.1961894824837,22.3597833875668,17.5229764381089,18.4527663381405,19.7838941482902,22.0577092835743,14.5436446160978,15.0071126240677,15.4388321867488,23.3936334481362,23.7488159791307,18.1761127896122,26.0070431839609,13.5580341862183,15.502460695203,21.1662220618995,19.5661598261675,14.8389743045937,18.1364259355828,15.28373844366,21.4519535457265,14.1376822994587,14.541591411697,14.8456341305078,15.9341038431815,25.3161428926847,25.0403660531726,22.5409627738003,14.6422657037028,20.6900605843785,14.9820472469753,17.4166594467399,13.2147307823743,18.8451914788095,20.2669221449945,23.0769649208764,21.2443571859147,18.7927751928907,19.2409899956429,19.1873697447224,19.228888571758,18.1615666670196,16.5910451528323,16.7443382918404,13.2687490525954,15.8222430329469,19.2594695781159,15.749320397507,10.5143219790683,18.5704713667847,13.1931763204319,15.6201523677691,24.3997994533693,25.521940450889,18.7432186929063,20.364124967779,17.6224048082905,20.9762697629543,16.5802452007112,17.0570396889926,22.1127405925263,15.3730912002837,23.2645246736796,20.0193400607261,19.1867578777018,18.6756451556031
"C61.3",20.5306252298265,23.0458969012956,12.4874444850326,22.7557275981833,24.3900897297683,17.8080058383905,16.5000005600158,9.3614743862574,22.5547352307924,19.4808896451617,21.4089677627135,19.1970372490853,22.0718869005062,17.4306435865421,15.745609205722,20.1898373791922,22.2061472327821,14.4286952697794,14.9163119425885,16.293156105751,24.1464200854385,23.3443829679278,17.1631339641421,25.66009113453,13.4074536334731,14.6840710293425,22.262922979308,21.3637273039993,15.9877986252913,17.5757852488037,14.5802698353194,21.6435456372548,14.0274934238619,14.6190476388461,13.9242678126886,15.1049664832761,25.2448641682466,24.5059397753614,22.9553001592995,13.6001027167325,20.9328078159747,13.9703694244153,14.3422775670995,11.516515098183,18.5988002952607,20.9258325045928,19.8562333118577,21.7775300969074,19.3954693160999,18.1458491467844,19.2834751276413,19.3194981138008,18.1027937978184,17.1149799727561,15.3510882778906,12.0509229594945,15.965289919851,19.2615552176088,16.2848371071792,11.6112060296129,18.1443408763633,12.7767307224343,15.1514175915192,24.643561627434,25.1092748573037,18.2283244713297,20.6154744696865,17.0380557515682,20.9136097853584,15.7980546879441,14.1266395510071,22.242517008035,14.9684304901696,22.9643540171291,19.7500728047572,18.2001142416429,18.0385401830528
"C62.1",20.1349467692419,22.5574105231731,13.6809181630562,23.287936818321,24.1629086538373,18.1050838098469,16.6812988419345,12.034240840812,21.4795578008666,19.1145828605501,23.6798666774342,18.9648672027845,22.1169614302547,17.6028776385874,17.16299259872,19.9846446298324,22.6541424743605,15.4048496912571,14.5317463563407,16.2937653116049,22.9662175192318,23.3435411387882,19.9778115307371,25.2099360954189,13.6411607868163,15.6712680569304,21.2003466627738,19.6817658578461,18.4104033579057,18.3646489846372,12.2097493027502,22.3177219590681,13.9933347627169,15.4028785660271,13.4664588592845,15.636088745018,24.9287624380345,25.7416921536353,22.5437972666982,14.6514061315301,21.0566532436407,15.2721572255066,15.9921021810218,12.804660550512,17.6316887048534,20.8488190874173,20.4685651552361,18.5019792213374,19.092876380062,18.7296227642031,19.3161858898153,19.0267092252999,17.5950257794571,17.5749090208624,15.0473763948262,12.6443267045449,15.038473316703,19.2936252523649,16.1156448663921,12.8743318410829,18.0776673927404,12.7142461150436,15.5797935032372,24.2413417611417,24.6162023207096,18.1480893714828,20.5671601203489,16.5547687561914,20.5844839755278,15.6524445267746,14.3779752228572,22.7140364905347,15.7171056796878,23.1175478037929,19.4145319289893,18.3738868810218,18.9981651956377
"C62.2",19.8073916772085,22.1690604393284,11.4665071622171,22.6363972650502,24.2730219381019,18.158272224119,17.0311581329271,11.1986655679517,21.2418443370042,19.7583338737836,21.6864670042415,18.6146921357158,22.1768566256083,17.3901774264292,17.914927863542,20.6791078447609,22.6615577006491,13.953366743722,15.8175676018573,16.7863050744426,22.9179750096114,23.2017986811821,17.4275612919548,24.9072241594729,11.6303134073761,15.7589609455221,20.8055749943151,20.6936189557199,17.4757601441686,16.9575814458464,14.4796276426992,22.1564941173442,13.4876157957676,13.5763797219761,13.5953127009365,16.2516736783661,24.6937746342765,24.9229822479613,22.7232100474586,14.2899957195467,20.5972201596775,14.8991853111825,16.4458612379783,12.8424722313908,19.0988445138304,20.2921857738472,20.3979337525731,18.1685856819075,19.090377169718,19.0544585702255,18.9751694618797,18.8156166419513,15.5979825565168,16.4789200085637,15.3623685886845,11.7524658649765,16.0922308921913,19.3071261484453,14.9110549163494,11.7038760918316,18.3008574874096,12.5933325165517,15.1956288071633,25.0981983325051,24.7096824515557,17.7499928092449,20.8344552022559,16.4662326388787,20.8583886270346,16.6437461015528,14.0887664327182,22.7346756096984,15.5557769622298,23.259718048373,20.243484922612,19.1895011196756,17.6464829306939
"C62.3",21.6352954122065,24.1997799444052,13.7098086121465,22.8645854293368,24.4858006583809,18.6853899093342,18.4534656535552,17.3163269196972,22.0680076064383,21.6978596137978,21.7756430592645,19.8861070820143,21.3097804099233,17.3533327696351,18.6446286008092,20.6513422309837,23.1024581441027,11.9973782195103,16.0190575934489,16.0705136267115,23.1817238289977,22.9941463830959,17.5313416544626,25.7358082880368,13.4343863377461,14.1022744108275,21.6142636429751,19.0605383503825,16.5988973086994,17.0078755416352,16.8826237278829,23.7579403722337,13.8503166749067,14.1513359950715,14.1872172344259,15.3468592009617,25.9719445688996,26.9306836847202,22.5326355024286,14.8190544700823,21.6301502674634,19.6541909883379,16.0042121943151,12.2483703617234,21.0165712542339,19.0278726687254,24.2650593137757,17.1691795681247,18.5637476615365,19.0110172179381,19.2230130369271,20.0277342801219,16.7053946241523,15.1446521073546,14.7127610209816,13.320422907583,15.8158818695836,19.1758553672987,16.307810142688,10.862274150435,18.7301211016212,13.332801259291,18.5672223742274,25.0153834664394,26.1072691689983,18.2646195710522,20.4621680012743,17.0885393388448,21.6641138278001,18.0617366547505,18.2461083818853,23.1635302567961,15.4302808593828,24.5243403757927,21.2119325076301,19.7414168208664,17.5683026366152
"HF58.1",23.1145986795226,25.9343982211423,13.7373850673691,22.6534406611483,25.3797409047508,19.6911313780591,21.2128774108053,15.2671536084728,25.5102643330853,25.2338272401923,21.4567628865491,22.3976705688414,21.5962261722746,17.5557664063978,19.1448575824934,21.2574640997994,24.0973193989283,13.1667410763403,16.0647978165112,19.2676677747068,24.6396481640549,24.7077197628596,17.6529163887271,27.1962102555178,14.5316497673527,15.2903536114024,23.333000039491,21.401472874823,14.5875327946715,19.0979984092132,19.7148139457185,24.6237223291005,15.5706173807531,14.4435700283909,14.8713425023371,16.7885497577536,28.4053439525388,26.7780138674431,24.1590794047816,17.1263126901559,21.0666811466642,21.5293048655171,15.7241150461469,12.3968970799492,22.7682564397534,20.3983155849106,26.0525440097651,22.251294932383,20.3756700677479,20.0135921069275,20.4985084060284,22.3741166464908,19.2555038604438,19.5560947675547,15.1175166385653,14.4752092238704,18.0531531271274,19.3083271060737,19.2035457485654,12.7729203303481,17.1651172054802,12.0676437377508,18.8004963029338,26.9714016157977,27.1190224104997,20.9055105683931,21.6356760590564,17.2342790448921,24.6973059277402,20.7918647449716,20.1763123711068,24.1862727712469,16.4562765360586,27.2019251061479,23.2486150296565,20.19496829533,18.834980560926
