ID/Time (weeks),-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
HFHS66.2,24.3,25.1,26,29.9,32.1,34.5,36.5,38.8,40.4,43.2,46.2,47.4,49,49.5,50.2,50.2,50.8,50.9,51.8,52.6,53.3,53.2,52.6,52.3,52,52.3,52.4,53.4,54.2,54.4,55.1,56
HFHS66.3,23.3,24.8,28.3,27.4,29.6,32.5,34.8,36.4,38,40.1,42,43.5,44.5,45,46.6,46.2,47.2,47.7,48.8,49.1,49.3,49.3,49.4,50,49.7,50.8,51.6,51.5,52.1,51.8,51.2,51.1
HS60.1,24.4,26,25.7,28.7,28.8,29.6,30.9,30.9,31.9,33.2,34.4,35.6,36.3,36.8,37.6,37.4,39.1,39.7,40,41.1,41.3,40,40.8,41.1,41.3,42.5,43.3,44.4,44.6,43.3,44.1,43
HS60.2,25.3,25.8,26.3,27.8,28.2,28.8,31,31.1,33.1,33.6,36.1,37,38.4,39.4,40.4,40.5,41.6,43.6,43.6,44.4,45.1,44.7,45.8,45.2,45.1,46.2,47.7,47.2,47.5,46.1,46.9,45.6
HS60.3,24.3,25.8,25.3,26.5,27.9,28.3,29.1,28.5,29.2,29.7,30.5,31.3,32.8,33.1,34.3,34.2,34.9,35,35,35.9,36.5,36,36.6,36.1,36.2,37,38,38.7,39.3,38.5,37.9,38.9
HS63.1,23.8,24.9,25.2,24.9,25.8,26.9,28.3,28.1,29.3,28.6,28.8,28.6,29.6,30,29.3,29.6,30.1,30.3,30.9,31.3,31.6,31.2,32,31.8,32,32,33.6,33.5,33.6,34.4,33.2,34.3
HS63.2,22.9,23.3,22.8,23.1,25.2,25.5,27.2,26.8,27.9,27.6,28.4,27.5,28.3,28.8,28.4,28.8,29.2,28.8,29.9,29.7,30.2,30.4,30.2,29.8,29.9,29.9,30.2,29.4,30.5,30.6,30,30.7
HS63.3,20.5,23.9,24.2,24.3,25.3,26.2,27.3,27.3,27.3,27.9,28.4,27.3,28.2,29.3,29.1,29.2,29.4,29.6,30.1,30,30.1,29.5,29.9,30.1,30.4,30.1,30.5,37.8,38.2,30.8,30.3,30.5
HS64.1,23.3,24,25.9,26.6,27.9,29.8,30.6,29.7,30.8,30.8,31.8,31.9,32.3,32.5,32.5,33.5,35.1,36.1,36.2,36.4,37,37.4,37.4,37.6,37.7,37.8,39.2,38.8,39.1,39.4,40.7,39.8
HS64.2,21.2,21.8,26,23.5,24.9,26.1,26.8,26.5,27.6,27.6,28,27.3,27.8,28,28.1,28,28.4,28.5,28.4,28.3,28.6,29.1,29.5,29.9,29.9,29.8,30.1,30.1,30.2,31.3,31,30.3
HS64.3,24.3,24.9,22.5,26.2,27.8,28.8,29.7,29.2,30.2,30.8,31.1,30.8,32,32.8,32.8,32.9,34.2,34.7,35.3,36.3,36.3,36.2,36.2,36.2,36.5,36.9,37.7,37.8,38.2,37.9,38.4,37.2
