"id","X2.hydroxyglutarate..2.HG.","X2.isopropylmalate..2.IPM.","X2.ketohexanoate..2.KH.","X2.hydroxy.2.methylbutyrate..2H2MB.","X3.hydroxyanthranilate..3.HAA.","X3.phosphoglycerate..3.PG.","X3.hydroxybutyrate..3.HB.","X3_methyl_2_oxobutyrate..3M2OB.","Anthranilate..AA.","X2.aminoadipate..AAD.","Acetyl.coA","Aconitate","Adenosine.diphosphate","Allantoin","Adenosine.monophosphate..AMP.","Arginosuccinate","Ascorbic.acid","Adenosine.triphosphate","Biotin","Glutarylcarnitine..C5.DC.","Cyclic.adenosine.monophosphate..cAMP.","Cholic.acid","Cholesteryl.sulfate..CholSO4.","Citraconic.acid","Citrate","Deoxycholate..DCA.","Erythrose.4.phosphate..E4P.","Fructose.1.6.bisphosphate..Fruc.1.6.bP.","Fructose.6.phosphate","Fumarate","Glyceraldehyde.3.phosphate..G3P.","Guanidoacetate..GAA.","Glucose","Glucose.6.phosphate","Glyceraldehyde","oxidized.glutathione..GSSG.","reduced.glutathione..GSSH.","Homocysteate..HCA.","Hydroxyisocaproate..HICA.","Inosine","Isocitrate","Kynurenic.acid","Kynurenine","Lactate","Lactulose","Malate","Malonate","Malonyl.coA","N.Acetyl.L.Ala","N.carbomyl.aspartate","Nicotinamide.Adenine.Dinucleotide..NAD.","reduced.nicotinamide.adenine.dinucleotide..NADH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Niacinamide","Oxaloacetate","p.aminobenzoate..p.AB.","Phosphoenolpyruvate..PEP.","Phenyllactic","Phenylpyruvate","Pyroglutamic.acid","Pyrophosphate","Pyruvate","Riboflavin.5..monophosphate..R5.MP.","Rhamnose","Succinate","Sucralose","Taurine","Taurodeoxycholate..TDCA.","Thymidine","Thiamine.pyrophosphate..TPP.","Tropisetron","Uridine.5..diphosphate..U5.dP.","UDP.N.acetyl.glucosamine","Uracil","Urate","Ureidopropionic.acid","Uridine","Xanthurenate..XAN.","Xanthosine"
"C59.1",19.9178365876173,24.9932613332337,14.7396732446411,17.5399786775691,15.2102458864033,15.3669059116621,18.0878230941017,20.6440176163591,14.9950152879966,18.7743452017423,14.5041608045203,22.3305880079434,20.7225934682443,21.2054331734798,25.2799844739414,17.4914527219067,25.0502455775651,18.9837076067435,20.7207787021347,14.8798514956778,16.8307547206369,19.0277056251005,20.5976228602406,15.4234578310925,21.6635132912128,12.8434784431828,17.4681410096317,16.9074643088668,23.34665574429,19.8403597576142,16.8099924271736,16.7346243754728,14.5700487807163,23.4790108677218,17.4592727018242,23.9711225938923,24.079253143769,14.0792503890831,14.9750821861152,23.5580511298436,14.235338061444,16.7159634753152,14.0802650426298,25.9067533700442,19.1109680593851,23.0368398246823,21.4452049641558,13.5649087672997,16.6206529200586,14.939049282215,21.7071194979505,20.1153040549494,17.0915741013467,17.3850325291262,17.1150185381829,18.6377393435978,13.7730262840229,15.4426065506243,12.4856290761112,11.7035831384559,13.8869657773043,19.5706321592741,12.3570070774912,16.7199828013099,17.1504716834916,23.8239967954563,12.334088741431,25.6766892791692,24.4541862357322,16.1093201628415,15.1645162361508,17.133834189565,16.0016678153717,14.6310158436423,17.202453004703,21.3486721499093,13.7187470341268,20.8781741849751,13.7005331964606,19.6732824163969
"C59.2",19.7132301391617,24.4912368524367,13.7724674296753,17.0694087430841,16.5659187844152,16.3347513101989,18.7843553776008,20.8340887348621,16.3170280937326,19.1436677893492,14.6738556862885,22.3725177830006,20.6910849051938,21.4818004022016,25.2652631385093,17.282386093273,24.6624960020074,18.9114934898007,22.1743879373077,14.1397639616097,17.072618040867,20.0752526182424,20.5217988736524,14.3815292178222,20.5764168611979,14.2477305891685,17.5671401733558,17.5558751253709,23.0229010125124,19.9395799070829,17.5794454471667,17.1490086260199,14.4177874500359,23.1321866250039,17.524977214481,24.0057804887191,24.1289912725906,14.1319259344022,15.3126197506283,24.7798632745901,14.5967220044796,16.4585046995074,15.0270762504709,26.2493317137249,19.7497806599557,23.1541033329654,21.8269140434938,13.3298464157104,16.742786845832,15.4717614473806,21.6708153696093,19.9692076930306,17.5264842336901,17.1105995927149,17.2496500368618,18.9357245633059,15.1110805732413,16.6070149286231,14.1374668397784,12.5782397505704,14.2944934860466,20.0706755155505,13.0741014353474,16.7564285959435,15.9350375021356,23.557285243751,12.6532419369614,25.616764601259,24.5214980886415,16.3581614516301,15.8621490719942,16.893200724731,15.9496634174917,15.9234792887788,18.6348609454732,22.5501225780327,14.0206300117019,22.2647865260039,14.0031373618036,22.0217415183322
"C61.1",19.7802336134771,24.8221089673454,14.268453023139,17.1695076748292,15.9006308597408,17.0586148181132,18.0688118224374,20.83527180589,15.9860058849677,19.1900731903048,15.2926491434598,22.4372459357164,21.1178746251226,21.6362427303811,24.7099706481167,17.8812832500857,24.7852536395645,20.14856905436,21.0649836178379,15.0521201971557,16.781281685851,23.1398150583848,21.459584025607,16.4571860011524,23.9373565063616,14.559633010877,17.9109684398051,17.5847077275157,24.1381456407286,19.5423295482125,18.4157654005195,16.4830620738847,14.6504055641136,24.3907173641326,17.5597279245312,24.3306670109507,24.5204227411665,13.5416219575993,16.1144644928915,24.9889381413852,14.6889115480719,16.2471540016713,14.1686249055861,26.3623796756496,18.988089324204,22.9830189051429,21.3645748503158,14.3136119090911,16.9082532879277,15.6263704294975,21.2619452091391,19.2970729722463,17.3108813428472,17.4245777610121,16.8513934061352,18.6882410311541,14.8041334598717,17.4283297837457,12.6201213423711,12.1406160083113,14.4169436153358,19.653041102836,13.2506902080058,16.8733999954281,16.3794879384073,23.2816484290706,12.707599344869,25.14742051331,25.1587301503446,17.0161146181807,15.2734681385929,16.8224196542447,15.64755510453,14.773066261095,17.283248399525,21.9310216947674,14.7177565343836,21.1519087942271,13.5893204085877,21.2788493784522
"C61.2",20.0684413440013,24.3003519854924,14.2664144935999,17.6310166812465,15.3627165106325,16.1809229636918,18.0317583264499,20.5381671401586,15.1392794854959,19.8207214876469,12.7387120011941,22.4313060148425,20.97487470097,21.1003574342183,25.1872407749525,17.4949018536546,24.3646913440074,19.3517571245633,20.7835852535685,14.2661640279811,17.0935501013107,18.2920244850752,17.7148789483559,15.9715932967472,21.6203051646629,11.9848487647969,17.7665930863995,17.5118053869887,23.3433505212872,19.6709541319746,17.8083113161115,16.771586719019,14.3942697740851,23.3602367762924,17.3830214604762,24.2166026484173,24.0499633838923,13.2342897856572,15.542474512293,23.7610284051464,14.4871037989996,17.5059460675933,14.4925518008035,26.1685720423613,19.0579082495759,22.9688558634268,21.1510107245866,13.291727495079,16.8225306283628,15.3451182323664,21.0555896811334,19.3887987412843,17.5936585438629,17.2343195811545,17.1397803134045,19.1332149168846,14.2675421996898,15.9031391644381,12.9875318343802,12.0371782018117,14.0445016100147,19.825287524812,12.760455786602,16.2451869197971,17.5267253696825,23.7781131621834,11.7850122097626,24.9513985236706,22.5963844352461,16.3265649838783,15.6852444330172,16.667617830512,15.6256238080131,13.902002070916,17.8172919448018,21.5628050106956,14.2389815545532,20.9219127083247,13.4807545095564,19.9431522770196
"C61.3",19.953546555087,24.6136826519482,14.3823206259082,17.0348270241096,15.6450410074751,17.0330541141043,18.2106142540714,20.8263268638765,15.5507361259933,19.8744952586706,17.4867474064612,22.3082013067663,20.9566634585009,21.4013237104655,24.6670620776825,18.269186663019,24.7722653889003,20.0143112820966,20.8021804570592,15.7320850925099,17.1850991988752,23.8213142771526,22.3015555082047,15.3320168215493,21.4623337911874,13.6844700195821,17.5191462763129,18.329563358232,23.7066178808216,19.9526031132031,18.1084927722355,16.6505439591576,14.4383553316174,23.8191657068662,17.2141787871459,24.0454175703466,24.1384796289844,13.4107010353518,16.8006054087208,24.1254453692545,14.7851777220811,15.6876519631883,13.9593690630632,26.294006030238,19.0290053248094,23.3292204015464,21.4371719484743,16.2217075760691,17.2016939973444,16.3640904951785,21.517345839122,19.6638887715642,17.4246494276958,17.6609628487587,17.1984715099436,18.6081192274733,14.5330707297967,16.8447153211268,13.0185522449086,12.5375569350964,14.5823183207356,19.331398741657,13.734097512568,17.2214397281017,16.6404289106877,23.2801871366342,12.9928770612643,25.219507079265,24.036437526492,16.9175302705548,15.4399633776172,17.0757919418639,16.3190707627567,15.4868316271957,18.4235791525122,21.1751144923347,16.5305100903142,21.0409524288906,13.2032158514837,20.3843639314033
"C62.1",19.6812740333279,25.0061178098512,14.6687909279182,17.4208714183747,15.2407175695012,17.0586171834809,18.8117039530384,20.987341840591,15.1944238684093,20.0604665422991,14.3970116237457,22.2779092487665,21.7702058096312,21.6752699323026,25.0007359416308,18.0001888206192,25.0277183409793,20.659913031997,20.4765767117714,14.8385849767055,16.908765554807,21.8719440190185,20.5384777131867,15.7107969138175,21.1001315707262,13.4272048608612,17.8619231592219,18.2252892744403,23.5740851199948,20.0532976774731,17.5320486033933,16.7472278655767,14.5753717863566,23.7871770897661,17.5168925092826,24.1762936727438,24.4277497071617,14.3384128541196,15.5390501921987,23.3448176865389,14.9936178694504,15.7459490485961,13.662326789215,26.1586060370457,19.3664334512176,23.4732343475184,22.15602406203,13.2793523775133,17.2585485405272,16.1840087587008,21.317461898703,19.3192499982352,17.9680051916425,18.1990409026044,16.8959206367905,19.1266577805854,14.2535586393969,16.7700103071041,13.3892973011021,12.9535935938123,14.164181542284,19.9974776500758,13.4765176630842,17.4006287242062,16.6693939172177,23.6448993794667,13.2084265295851,25.8137472610685,24.8989505209977,16.1643047318638,15.7013036626201,18.2119941904726,16.1619928680304,14.6708451240677,18.0321417705794,21.5205064773517,14.5766833628576,20.7092721152866,13.6559905788485,19.6650050864679
"C62.2",19.8495529451479,24.083710401178,14.2373801271922,16.9620231375976,15.9543117517026,16.7968321775329,19.0232942032247,21.880724194982,15.6014438265457,19.9319166902462,15.9882620961001,22.0919569113081,21.6334247688424,21.6843097385597,25.6451294964631,18.6249880628736,24.1040671526196,19.4656230833486,20.9457990206454,16.4638952332505,17.3286589504691,23.0053485069393,21.117229068754,16.2095448648666,22.7919860976154,13.5710002376081,17.0739400413295,17.4626444742451,21.2545979464237,20.8578557003216,17.0281085033373,17.6299761257363,13.2084015046032,21.5166230170768,16.2083892264621,24.4113102159737,23.9874838221542,13.4756967128523,15.4845713076054,23.7026171185953,15.2198298600982,15.4819076404323,14.2094702998181,25.586765902082,18.2964227102352,24.1060019102614,22.2048696450719,15.8729079068469,17.5611045670591,15.9420835668541,21.7067201798022,19.4600117876458,18.6424215310735,18.2495347840336,17.0492604729472,18.1749769198645,14.5000762731385,15.8155374818923,11.9887374930273,12.3460253598156,15.0423307134425,20.6203191012484,13.4291216961465,16.8908301657933,18.0874809987933,23.6189112232642,12.519041604332,24.7236384899926,22.5594574817952,17.1530394086109,16.0939513982145,16.4490334945003,16.1854028351284,16.1261427599594,18.5609881075665,22.1470517549113,14.808526599605,21.0737426639153,14.0477270198755,20.121036923429
"C62.3",20.2376515142955,24.8881294513618,14.6933139163251,17.8226644463031,16.3355127493285,17.5607533376966,18.4665114219707,20.8642179913335,16.2100007985975,20.1755713867168,14.1819809318635,22.5518104289917,21.1816365043796,21.6110002614055,24.9973658902267,18.3133649916072,24.9493341557998,20.0499078965925,21.6148541970655,15.5623805555353,16.766609570854,22.2359483372254,20.1753359955175,15.9928969780525,21.6101222770432,14.1723828888271,18.1033032536241,18.4062288111537,24.2145580983706,20.0043757268576,18.2537853787671,16.8457296554931,14.5050983131273,24.6587300507439,17.7445102918061,24.4827571884274,24.4533449931529,13.4171217091524,17.5541834022967,25.3205487613247,14.2834297349956,16.6194578369762,14.4361969496456,26.7170690643734,19.9226176707117,23.4427077608785,21.6417777277471,13.9445647865549,17.6079976996938,15.2092676788576,21.4100827752123,19.6188287380273,18.1379029789977,17.8571791502551,17.0123098123549,18.9418890376265,15.1283999197176,16.8341865842163,12.9059775302582,12.2859081236695,14.4128869021932,20.1194024052246,13.1770146618337,17.3515483299622,16.247279949107,23.5902508836814,12.6549173829876,24.3084337305537,24.1968218445534,17.0622701015859,15.5987328631973,16.6944535246995,15.7226860922812,15.1991608097538,18.624280510843,21.915709695704,14.2243980074332,21.7711151029874,13.9713120189289,21.9095260991195
"HF58.1",20.494912900526,25.0226700717596,14.9430889929454,18.1922760935627,15.6486993278509,16.9088397285758,19.3034108885034,20.7718555918214,15.3490126133959,17.8536544041897,14.7032389996147,22.3361872023942,21.4243614856402,21.3300701373807,25.3671137458451,17.257845925056,25.114530519533,19.802523946868,21.3248963339971,14.4003307696396,16.7233286242979,19.2670528282088,21.0260896066653,16.679589828684,21.0852606797138,12.9374324665079,17.2679155823659,17.703300793214,22.3451984638375,19.7694473918824,16.9703981394034,16.7404868251668,14.132614973514,22.607037971578,17.0413187863934,23.9627403568197,24.2358946408423,13.9979718744527,15.1795291630305,23.872512375443,15.0377181458069,16.6090365214038,13.9866015173786,26.0017439004411,19.9518247750271,23.2868260588744,22.3338949382216,12.4292960896321,16.6992482538673,14.8392273925779,20.8968576380353,18.9541588937747,17.6869869865643,17.2558984444806,17.2442818715133,18.6077053520329,14.2234145819133,16.511543137949,13.6029071621749,12.8948474859374,14.0464072807033,19.9157627516303,13.1597477751355,16.3585483628964,17.2234881342127,23.4624660513611,12.8604620458734,25.741250982244,24.8145703098945,16.9428955077918,15.6397982749031,16.4559532689519,15.6156958119155,15.404412293332,18.8200834411244,22.1821636452602,14.3326510594169,21.5071305001994,13.6775624618772,19.7179339076897
"HF58.2",20.7811373839155,25.0591633551246,15.0207842930597,18.2507418549253,15.9454959555244,17.0570368646989,19.2357185067078,20.9235569206717,15.7082118876014,19.233077246785,14.6084038982397,22.2439553201459,21.3486414918803,21.3130999771522,25.1156891354573,17.7711635212189,25.1110140475338,20.3820029117474,21.3473257977474,15.5693013741866,17.9250405173877,16.9991379299643,21.4485631530408,17.5253216930316,21.0084260132225,12.3562805962623,17.7695278918006,18.2904760600692,23.5290820688023,19.9216884977602,18.1842810986184,16.3993478127263,14.0586512686234,23.507996308894,16.9146848959045,23.3700793245433,23.913189137743,13.7528273772058,14.9297584878672,23.8799269488421,15.2031567156777,16.529924804341,14.1885806817755,25.931229197839,19.33218895567,23.4754978159696,22.4906629651407,13.3045680125836,17.004573877746,14.7612059508924,20.829760643268,18.9240847849584,17.380368115166,17.1984624724581,16.80718609307,18.5617246410627,14.642420314497,16.9060396648928,12.8960159147137,12.8960793284666,14.2470986648317,19.7910052196191,13.2971988707771,16.2301803692191,16.0068161896612,23.7877020976679,12.0303687323916,25.6356200545534,22.3883231936162,18.1827431926224,15.7300356162193,16.4878438177484,15.8840213549201,16.021336388197,20.366140069617,22.6076915721995,15.2308298736751,21.5395706185411,13.9805139646954,20.1787663670567
