"id","GT.acetic.acid","GT.butyric.acid","GT.Caproic.acid","GT.propionic.acid","GT.valeric.acid"
"C59.1",29.5514258020311,28.2033358895973,21.7694989962803,24.6279861892774,24.6902610495052
"C59.2",29.6780091337703,28.7788598229821,23.998865155134,25.1864043029928,20.6642041282556
"C59.3",29.5447056511182,28.6498222678518,22.958462764737,25.1979494862447,20.9798017478475
"C61.1",29.5761750185472,28.6106865121453,22.9675253343192,25.0251475824871,20.8012730403769
"C61.2",29.6089465775269,28.6373912166009,22.9339981656594,24.9833797744636,22.391071875198
"C61.3",29.5823000001785,28.6749539332076,23.2158981901226,24.8812343632035,22.2186278159517
"C62.1",29.5146584992018,28.6486599547706,22.9248974552693,25.0442774193967,20.0533967040278
"C62.2",29.5206387538496,28.5657903375474,22.9146663469621,24.737488868271,22.4177892413721
"C62.3",29.5264120499457,28.5331171379429,22.6774146758811,24.8420877970595,22.233461203974
"HF58.1",29.5787676417027,28.1530256461573,21.8266453814664,24.2503735216392,23.7188828117474
"HF58.2",29.5622874410536,28.2543246521269,22.1031802660003,24.3811483337521,24.1402757322475
"HF58.3",29.5010205324497,28.1453206949737,21.7643800603152,24.2658304153581,23.8057731802265
"HF65.1",29.6289055450643,28.1647878739356,24.1767182813278,23.9205728404341,23.1318338067364
"HF65.2",29.5182303519156,28.1569126393149,24.0689458041414,24.4680276904991,22.7109649924948
"HF65.3",29.4981608907833,28.1544908066934,23.0837361664697,23.9819574983571,22.9752808702687
"HF67.1",29.5783992307285,28.4621794562613,22.3505840715468,24.4739051387889,22.0415160809533
"HF67.2",29.6362741123208,28.4555915747394,22.320093551205,24.6088963290373,23.1391088239218
"HF67.3",29.6240287393337,28.5377375761284,22.5160093676712,24.4426470826176,21.7315858533353
"HFHS56.1",29.586438670939,28.5314046897041,22.8209108679505,24.7233920926304,23.2706938995716
"HFHS56.2",29.5708081446043,28.4491291595015,22.300059919643,24.6010417127319,21.4907983673763
"HFHS56.3",29.5383533973527,28.012361868327,23.2232860364863,24.1563288867797,24.0262239922466
"HFHS57.1",29.6251709486021,28.3164011652013,22.007139108834,24.3314297503641,22.7388033053066
"HFHS57.3",29.5315896693196,28.0825515941446,21.9861609709824,24.1747232131946,23.0367962199183
"HFHS66.1",29.5579022346205,28.1281382696113,22.4388328686034,24.2554646683914,21.6225234488833
"HFHS66.2",29.5280271955484,28.383717999502,23.156370487437,24.6260053948674,21.4059811883973
"HFHS66.3",29.5703864679849,28.3710902037119,23.9641908588304,24.6275843396953,23.3184368066607
"HS60.1",29.5227315784541,28.3803526960521,22.8147325659827,24.7191163296955,23.114574996542
"HS60.2",29.4937034515803,28.6406416587251,22.1987217200468,24.9769623094069,20.3977739731564
"HS60.3",29.5587209378531,28.6217674103588,22.7414104858488,25.0821384676315,20.976702980943
"HS63.1",29.5514610516067,28.6638057185145,23.2121143252343,25.0608259190865,20.261607550075
"HS63.2",29.5236028948275,28.6312704352673,22.8495493519843,25.0850838186118,20.9632782344569
"HS63.3",29.683037701299,28.5712813714148,23.0728156028475,24.8920004950519,23.0709407912118
"HS64.1",29.5517607977847,28.6954606567625,23.4856852155651,24.8868225063053,22.3460293035327
"HS64.2",29.5252363330277,28.3859333711485,23.285757869367,24.433032200289,22.2982865065912
"HS64.3",29.5590688853495,28.6345374784376,23.125510273583,24.9396715521818,20.9914589076801
