"id","X1.methylhistamine","X2.Arachidonyl.glycerol","X2.Methylbutyrylcarnitine","X2..deoxyadenosine","X2..deoxycytidine","X3.hydroxykynurenine..3.HK.","X3.indolepropionic.acid..3.IPA.","X5.Aminolevulinic.Acid","X5.hydroxyindoleacetic.acid..5.HIAA.","Acetoacetic.Acid","Acetylcarnitine","Acetylcholine","Adenosine","Alanine","Aminoadipic.acid..AAD.","Anandamide","Arachidonic.acid","Arginine","Asparagine","Aspartate","Asymmetric.dimethylarginine..ADMA.","beta.Alanine","C4.butyrl.carnitine","Carnitine","Carnosine","Choline","Citrulline","Cyclic.adenosine.monophosphate..cAMP.","Cystamine","Cysteamine","Cysteine","Cytidine","Cytosine","gamma.Aminobutyric.acid..GABA.","GlucosePos2","Glutamate","Glutamine_spec","Glycine","Histamine","Histidine","Isoleucine","Isovalerylcarnitine","Kynurenic.acid","L.Homoserine","Leucine","Lysine","Methionine","Methionine.sulfone..MetSul.","Methylsulfone..MES.","N.acetylglutamine","NG.monomethyl.L.arginine..L.NMMA.","Ornithine","Phenylalanine","Phosphocholine","Phosphoethanolamine","Proline","Propyl.l.carnitinne","Purine","Pyridoxine","Riboflavin","Serine","Spermine","Taurine","Thiamine","Threonine","Thymidine","Thyroxine","Triidothyronine","Trimethylamine..TMA.","Tryptophan","Tyrosine","Uridine","Valine","a.keto.b.methylvaleric.acid","a.keto.g..NG.NG.dimethylguanidino.valeric.acid..DMGV.","a.ketoisocaproic.acid","a.ketoisovaleric.acid..KIV.","b.aminoisobutyric.acid..BAIBA."
"C59.1",24.9466468850329,16.9993146601504,23.7376926025037,15.1846782703972,20.5927089980481,14.0874781962112,21.2303598024317,13.6004017211024,15.1038408815605,17.4237465232317,28.7878532087519,19.3119238180464,22.9331334956018,22.8909415714102,18.9949475900123,17.1134311605169,18.1420198221614,24.9356582964476,19.1623333585061,14.8728218952794,23.5987015846552,21.369093910071,22.3442416854937,27.8443034970863,15.8707300744039,20.789869476124,19.5125054468714,15.2203223032921,20.4717804118842,14.4822281189698,11.0470516343947,23.2762957207943,23.7152608749466,14.8016857015471,19.8842566886212,20.0073009631405,18.9527086935061,16.4297103459493,20.2407197795101,22.591431770183,21.8906393626054,19.7741410511285,22.9992684023531,21.914667838061,20.907272004599,25.3425274169591,22.0773669839995,23.9478707800845,16.2507271542896,24.406113773636,19.6157094177397,19.5637415791011,26.168521041172,23.3714498275068,18.6338666220426,22.8114517689902,15.1745856802174,16.7091985124622,16.6941387546327,23.7781432793759,18.7855123587823,23.4789396958319,23.2591936459511,17.704216515359,22.2170002282011,19.4224493614637,18.3844448660292,14.6324046080557,24.2278656912734,24.1734041463739,23.9678510217686,22.4869818441809,22.399296823315,18.737107148848,17.0493319378347,9.47147081632601,16.3753278822845,15.6320139613474
"C59.2",24.9089267876946,17.0497936393628,23.6949520433437,15.2950750709441,20.7423812307176,14.1573260219995,21.0977006163228,14.4850653006477,17.0446287433068,17.3436520060105,29.0578625360806,19.3122651675044,21.8999204703749,22.6093417050833,19.4448800385271,17.3005287575519,18.3535561242989,25.444921497084,18.5160095933075,14.8592906498558,23.4371046216264,20.6280692841081,22.6546324009275,27.6435220122675,15.6898508816387,21.1439134864455,19.0758994720307,15.4046707625078,20.2337539652592,14.4694614870979,11.212966380139,24.3320117406238,24.3605116211504,14.9776910500444,20.07962793832,20.5237469441102,18.1407498150495,16.1033626522414,20.6275394922226,22.0686493947041,22.4140169032186,19.7306738377359,22.6592018749197,21.5694186622483,21.7554180722544,24.5896581974446,21.7227184513254,23.5375717944025,16.3355410054963,24.3991739256534,19.1886574612509,18.1269344781636,26.3317750414437,23.3272685473467,18.7297267264021,22.1865186102427,15.2402500664609,16.8058431038522,17.7702638419309,23.520889676754,18.3219588184323,23.2991032772516,23.6042417597699,17.3687502154136,21.8718709928134,18.6266441354735,18.529509083569,14.3601649629948,24.6394333656419,24.4111829140344,23.5688391524415,23.6028252867278,22.8380439540935,18.2250521132585,17.2318511599984,9.50607090420343,16.3316814097782,15.4411181968015
"C59.3",24.9346527140023,16.7412452659966,23.1836840620544,15.121739856182,20.5612121626341,14.6775909887308,20.5443199356939,15.0384461485577,17.1967064203066,17.2991271453974,28.4917105727943,19.2864028164238,24.0619609177534,22.7794538204252,19.7170207229954,16.9279512997607,18.0758164846742,26.375505047305,18.6520391489356,15.751891874642,23.0761472991606,20.5646316026635,22.7367637183937,27.7364763235576,19.3856140779835,20.8441794151345,19.0178608373467,14.9427987431236,19.8762623156404,14.4773656766171,11.9259435245854,23.3981099897468,23.7488035492742,14.8186924470571,20.0302261667177,20.3300857658965,17.9478206757327,16.0178287255867,19.9446841909051,24.6488333320795,21.3478041640095,19.6226747302945,22.8983064537846,21.7289155496217,22.2402284930129,24.3744561494098,21.6844687342958,23.5336686384683,16.8780199428593,24.5074846835137,19.0443117362775,19.3018793455257,26.176417637032,20.9356192650584,18.5093308555829,22.0280243818566,14.5363496851252,16.671279780364,18.3513361625211,23.5507001000734,18.3020371201819,22.9351226857746,23.6742082505362,17.96805384395,22.1209517019714,18.8946152890888,18.0327132727342,13.8208049181705,24.3795003083646,24.2697981197075,23.5593035983287,22.4366235529595,22.2329524085978,18.179510625451,17.1753187247081,9.06045287788799,16.2355078399814,15.5644881296832
"C61.1",24.90483965142,16.9138341860656,23.3592573203958,15.2966412680071,20.9108318148432,13.7147727362701,22.402304886553,13.5319342182824,15.029009224287,17.3084817102745,28.7726650394434,19.1507386911994,21.6675580757676,23.3003731084838,19.7250095488541,16.9371594147285,18.0704308384686,25.793579010195,19.062633495308,14.5186429097797,23.4056459573639,21.0984788885631,22.6931488640291,27.6624967065558,16.3957960235001,20.7794497460445,19.3899390732747,15.4137686138006,19.5992850036361,14.5370654572083,11.7533251872037,24.0896930580821,24.2121204084116,14.7328614116754,20.0892177442091,20.0058585051785,17.657802699929,15.6375572697437,20.5588148097861,22.767806724774,22.3052262295121,19.6900481043394,23.5341509216124,22.95295734456,20.7745418958495,24.1226106692594,22.4685593427964,23.6633175741531,16.2334865794613,24.4386884286774,19.555922302311,19.1245096589165,26.2672374606798,23.2953147221691,18.6355532424133,22.2401418048779,14.6017123147864,16.6808741375033,16.711462726648,23.1008231890901,18.7230367573126,23.2599097589331,23.0649231371484,17.0565049758295,23.2569807117267,19.0193055938874,18.2316515270222,14.1880470304192,24.2851921608892,24.1466868993735,23.6948511382277,23.2787648516007,23.113069780311,17.694924002489,16.4501840141063,9.32521545479592,16.3796320291726,15.5036204477034
"C61.2",24.9066224103967,16.9681206303106,23.1326970612353,15.0705549317608,20.0911863203597,15.0799326995922,20.5586205677505,13.910481206626,15.3476537091536,17.1307853971037,28.4011784404145,18.6983137161286,21.699879176631,23.0458615764917,18.5037930560867,16.9010928830174,18.0879149612574,25.8587790176217,18.8689294239198,14.7114665460553,22.5144497382908,20.1319020495534,21.7707871811695,27.5334602067787,16.8246621282102,20.5087197706011,18.4917462691676,15.2734051980044,19.4610051654157,15.190218893525,11.4336385293093,23.2118531282416,23.4304980960757,14.5688800352838,20.2593798236831,19.7927530913507,16.5622551351815,15.7289431073361,19.7218910796184,24.4895289403562,22.3361997169725,19.3774670631056,22.6537259929022,22.5459912664458,21.1187376777173,23.0510610664526,22.0264231995018,23.5643229730153,16.9810465305384,23.870499211774,18.5886519119385,19.0016592702923,26.1652546981831,20.8467482762522,18.5739621566152,22.0403689371242,14.3279991292934,16.6141146114296,17.4723159698702,23.8123686212663,18.5582450161295,22.3831738851775,22.5663269362682,17.4764671375987,22.8481216780451,18.7301670392392,18.3987141825991,14.3132638564459,23.8732843105078,23.9685081679625,23.5915734966092,22.3310680803558,23.2612487925035,17.5158671556225,16.9210436676469,9.03368550979309,16.1792795069253,15.4652901051467
"C61.3",24.8189974979581,17.0687161805306,23.079147304765,15.243657242056,20.1660902571899,14.4373455066871,21.9757134784154,14.1694428590413,15.1192979952546,16.9831103790092,28.3612730908525,18.3220196613219,22.6254540175538,23.3976951674131,19.3654824856731,17.0257774687392,18.046747608511,25.0070577930988,18.9047485867381,14.9991631913453,22.8328356172014,20.6088381913734,21.8071376877394,27.3376655463615,16.2373785146755,20.5335117734884,19.0261745320345,15.2934984288628,19.4125603748255,15.2571670103037,10.6817071643205,23.4626870261425,23.604132089298,14.6072963671298,19.7002447833058,19.8306850737714,16.7946780999156,15.9794848114762,19.5864070386103,23.577341162305,22.6866507308707,19.6479961861769,22.374439694274,22.6384930561192,21.3273341766708,23.2493914397886,22.4837379988107,23.6101957578852,16.392508964826,23.8471543930256,18.7415364437497,18.2212508525152,26.3289349968255,22.4603106305826,18.4853266336593,22.553025576643,14.7530109156205,16.7757468874559,17.8189879963013,23.0948970465192,18.8987772735784,22.7423530408151,22.996894910186,16.5184697532987,22.9272892004269,19.1278558547971,18.4633055074691,14.0566659848399,23.9202700026458,23.9459752230783,23.6114800025188,22.5592386510011,23.3054338522389,17.1991850585086,16.1377125330417,9.3790616813012,16.6141052290894,15.8287528399773
"C62.1",24.9515724967888,17.0385728887008,23.2736319088201,15.2601809237298,20.4093540280294,14.3660888619508,21.1221311346091,14.0437818732023,15.0422453549153,17.154996296305,28.6798491528317,18.6704761677614,22.2447406934661,22.7165980028195,19.2597851916126,17.0879812279192,18.2324030686754,26.3625742848578,18.8588200747558,14.7912357862881,22.877559049877,20.7820520846597,22.0601667483879,27.6398847710141,17.4022616930994,20.6997911457125,19.0865237029056,15.6031889807142,19.8437611802565,15.1799188351659,11.3718899593504,23.2891753721922,23.6127641428117,14.6606362268701,20.1732998183306,19.4107582207028,17.3268414072611,16.2270452148121,19.9506375729062,25.0265317834284,22.5180992802821,19.6469608220866,21.9884932754735,22.0404172615853,21.2641851327768,23.6942597977157,22.1814809124968,23.7679967617902,16.7616918796978,24.3884033617626,19.0053820918389,19.4514256330117,26.3213108210034,21.1348255359709,18.6612996803745,22.0583678914831,14.677489476747,16.8285614462818,17.4822583339903,23.4534517966003,18.3495423902071,22.7488033240986,23.1289496982845,17.085191552976,22.3597408242386,19.0536672994319,18.3585667550386,14.3044546583819,24.0389585277992,23.8808444828679,23.8012837729491,22.3978926969159,22.9623801313506,17.6602742045263,17.0676365677053,9.74289537338596,16.2733771492472,15.5613586015638
"C62.2",24.9403508852781,17.2386954879438,22.9606722954724,15.115612325081,20.4290861662155,15.1279168255743,21.156034639731,15.2374363603699,17.1717748006723,17.2361645967525,29.1865564716443,19.5091252290117,24.4412241992935,22.9203728639472,19.2897801876893,17.2341619745027,18.285692574595,26.7471090709207,19.1637285780008,16.4904403901348,23.2349035694221,21.2245636936765,22.5895924979385,27.7364552994655,18.8546922894932,21.518296347513,19.4621066236113,15.3963547587078,19.342133803406,14.6501961585563,12.0388341707512,24.1271107715601,24.1010110326752,15.4809043665014,19.8455157152161,20.8311953362561,19.3614319236086,17.194287560781,20.619685279552,25.6736675360765,22.7013726736359,19.950178278309,22.3424751579842,22.0100523072296,22.3056524229838,25.7094726582571,21.8788176907902,23.3962194966392,16.8145866852756,24.6500148598752,19.1416668650072,20.3357966246659,26.435798048347,21.0384637744278,18.6137757760688,22.9095949350512,14.8919233228837,16.9037802774806,18.3655024467581,24.0182522149488,18.9950280351971,23.1040847212209,24.196823929459,15.7307616909941,22.3026747985784,19.3660125762571,18.3605266501508,14.1820787989438,24.9356538526467,23.9904602719078,23.4245083515321,23.7175383982461,22.5970611875307,19.1260147016497,15.757366683274,8.6891680520675,16.2912210584938,15.4071392322777
"C62.3",24.8834812056853,17.1678638207855,23.3616681577256,15.3431312716492,20.6418049403424,14.873587306588,21.145539656326,15.3224720444594,16.8972266720298,17.2492011409657,28.8787968010661,19.4022892305725,23.7453307532819,23.465706146013,19.3481013206256,17.1756898352179,18.5008990562191,26.5762945317223,19.3474652671752,15.9606810017019,23.0501610483278,21.1314730771062,22.3384620578395,27.7510848142116,18.4517767635724,20.9069437605078,19.2399686205335,15.4469125673592,19.8065877811398,14.7034546882786,12.0981706310619,24.163307615318,24.2680197162582,14.7504748077079,20.0681536233678,21.0140231628534,18.2254739412093,16.7682281824971,20.5604268608635,25.1681511650915,22.7441585211849,19.9214556579342,23.1812605136284,22.4871341332567,22.4720305376519,24.6370752712793,22.2610388028166,24.0478422340095,16.6847261882716,24.798694281238,19.0874887110519,19.58977809594,26.5416150774294,20.9993627797724,18.6854026755076,22.4971878965705,15.2426256606824,17.0100868507808,18.4546741616563,24.2626404783071,18.9688169652355,22.9242763233586,23.9315844474642,16.742677830791,22.8081362170867,18.8908441341705,18.616050743774,14.4654263887355,24.1806559716391,24.3528360962315,24.0824390513538,23.4357405682757,23.094472693284,18.3655221809357,17.0116473992239,9.33855306087727,16.5128670168346,15.3530998178046
"HF58.1",24.9686031125085,17.2133792335801,23.5743025172068,15.1796871682707,20.7415068658065,14.3159827941803,21.0360338699602,15.2602348398395,16.6425476945327,17.1173156737403,29.0648525635832,19.5350069084065,23.5559463771902,22.5041064610826,19.0231706484456,17.2534742973971,19.2747853305615,26.6011263923913,18.9665763640783,16.5839470954828,23.2042345492491,22.3168949036431,23.1375370132855,27.5520959793326,18.8382164357318,21.4262780082628,19.1634592821675,15.4560244912197,21.1048582577907,14.3950704176433,11.352348166818,24.3814802595082,24.4060863903647,15.4365673066636,20.2947002839909,21.4939364417679,17.9815083071175,16.3383994926232,20.766367215668,25.0715156285355,22.2285905495735,19.7588737411464,23.4665232072359,21.7153453953481,22.4430245775498,24.4098295205585,21.8343447836586,23.7723904188792,16.8775415821283,25.7711590075266,19.0905413289357,19.9618318357511,26.3367246818483,21.001842158084,18.6779131300501,22.1655528224563,15.4326163178586,16.8155104340781,18.5488030395291,24.5914774883837,18.4460186310282,23.0746097802438,24.16555044072,19.259442784473,22.0028712680832,19.0106675118832,18.2406802168279,14.1119130649079,24.9325803509516,23.8288732623606,23.8263912069112,23.7105519415197,22.7029203490419,18.306854536328,17.4078529062211,9.6427332130491,16.1558289787938,15.3411947591114
