"id","GT.acetic.acid","GT.butyric.acid","GT.Caproic.acid","GT.propionic.acid","GT.valeric.acid"
"C59.1",29.4045483417591,28.2314071530317,23.0588647976329,24.6300148086466,25.9218306691354
"C59.2",29.3927149727311,28.3174820984434,23.9298187850262,24.7683782276989,25.724628001054
"C59.3",29.3762538549113,28.2506418180346,23.6078362179375,24.7321902773038,25.7228403762082
"C61.1",29.4273654659914,28.3581150319595,23.1299113650143,24.9893253253692,26.0050747935721
"C61.2",29.4046315732045,28.1988470394188,22.5378048960202,24.869513216133,25.8697870039195
"C61.3",29.3338263093783,28.1424818203399,22.4224559088629,24.8028761516154,25.2671057086852
"C62.1",29.3619833192057,28.2669118611241,22.9351128006568,24.8214387834651,26.1093834034237
"C62.2",29.3323498925145,28.2144343328351,22.364759555398,24.7739674326048,25.5280475706948
"C62.3",29.3677630092269,28.354734501895,22.5512853554725,25.0134318456397,25.073860909193
"HF58.1",29.3737557613436,28.3218218072025,24.4696226856475,24.8671714921726,25.9972344182412
"HF58.2",29.4151741570433,28.2672447729429,24.3296279657288,24.6849566598873,26.6432025721789
"HF58.3",29.3974391701804,28.6186359142772,23.1630314853405,24.7720685373615,25.7234099765959
"HF65.1",29.3611970307281,28.1395352709501,22.9706486735504,25.2694017764064,25.1687435252596
"HF65.2",29.4173269626699,28.2486177401188,23.9765463416707,24.7285859578475,26.8367147737451
"HF65.3",29.4123512295408,28.3699816514049,23.2145741470932,24.9054937934042,26.0239856688214
"HF67.1",29.3305333275276,28.3097699754546,22.804588419877,24.7125614110425,25.7247176619743
"HF67.2",29.353980806261,28.3316470646344,23.0611340309201,24.8694188135101,26.2653060214055
"HF67.3",29.3395889194745,28.185709402852,23.3906525892163,24.5997419499402,25.9279736679764
"HFHS56.1",29.4176639384794,28.1986778739609,24.0823049513089,24.7998130328341,25.9217121190956
"HFHS56.2",29.3998301615359,28.0655391472224,22.5954995410559,24.4189024598789,26.0229851132623
"HFHS56.3",29.3752499242537,28.4342681221163,23.3909807570534,25.128349303569,25.6516248673062
"HFHS57.1",29.3109998614303,28.1096700021023,23.0785938324793,24.455596995758,26.549225266043
"HFHS57.3",29.339186414277,28.4424455985048,22.9400328670339,25.146897897592,23.8764762644668
"HFHS66.1",29.4034659502847,28.5557681598213,23.9698146730957,25.2495331346381,25.9268368181975
"HFHS66.2",29.4238457110602,28.1687369496063,23.8203410063929,24.7303302383068,26.0085213921834
"HFHS66.3",29.3285881542746,28.3000585127761,22.3068247272477,24.8450872102263,25.6418898707554
"HS60.1",29.3890372869399,28.0850028221945,23.7003145678676,24.566508012186,26.0582330480766
"HS60.2",29.4089805732967,28.2569280984363,24.5775983898192,24.7102502486015,25.5073653616494
"HS60.3",29.3105031326308,28.3795181713276,24.0425517634574,25.0957869187608,25.0133857784817
"HS63.1",29.363064487745,28.4491613773875,23.1944202558149,25.1529768747566,25.0084585892205
"HS63.2",29.4299357846735,28.3122323576701,23.5117271062014,24.9780603849403,25.8286802917392
"HS63.3",29.3378835686209,28.5779492164346,22.9287978879029,25.1804074518851,24.6746991658603
"HS64.1",29.2893580453602,28.3994430640754,23.2045832550686,25.0011486527099,25.7454480104427
"HS64.2",29.3459802500332,28.4555404338384,23.1028791376255,24.9755373592183,25.2100634941286
"HS64.3",29.336303837622,28.2602324744521,23.0638519293798,24.7961801800821,26.1249748268736
